SoldTo,Customer_Value1
Customer_1714,Faster Growing than Market
Customer_1715,Innovative
Customer_1715,Innovative & Faster Growing than Market
Customer_1715,Niche Player
Customer_1716,Faster Growing than Market
Customer_1718,Market Follower
Customer_172,Faster Growing than Market
Customer_1720,Market Follower
Customer_1721,Faster Growing than Market
Customer_1721,Innovative & Faster Growing than Market
Customer_1722,Faster Growing than Market
Customer_1722,Innovative
Customer_1724,Faster Growing than Market
Customer_1724,Innovative & Faster Growing than Market
Customer_1726,Innovative
Customer_1727,Innovative & Faster Growing than Market
Customer_1729,Faster Growing than Market
Customer_1729,Innovative & Faster Growing than Market
Customer_1729,Niche Player
Customer_173,Innovative & Faster Growing than Market
Customer_173,Niche Player
Customer_1730,Faster Growing than Market
Customer_1730,Innovative & Faster Growing than Market
Customer_1730,Market Follower
Customer_1731,Faster Growing than Market
Customer_1733,Faster Growing than Market
Customer_1733,Innovative
Customer_1733,Innovative & Faster Growing than Market
Customer_1734,Faster Growing than Market
Customer_1734,Innovative & Faster Growing than Market
Customer_1735,Innovative
Customer_1735,Innovative & Faster Growing than Market
Customer_1736,Innovative & Faster Growing than Market
Customer_1737,Faster Growing than Market
Customer_1737,Innovative & Faster Growing than Market
Customer_1739,Faster Growing than Market
Customer_1740,Innovative & Faster Growing than Market
Customer_1741,Innovative
Customer_1747,Innovative & Faster Growing than Market
Customer_1748,Innovative
Customer_1749,Faster Growing than Market
Customer_1749,Innovative & Faster Growing than Market
Customer_1749,Niche Player
Customer_175,Market Follower
Customer_1750,Innovative & Faster Growing than Market
