soldto,c_relationship
Customer_1781,Transactional
Customer_1785,Transactional
Customer_1786,Transactional
Customer_1787,Pure Business
Customer_1788,Opportunistic
Customer_1788,Transactional
Customer_1789,Advanced Business Ties
Customer_1789,Opportunistic
Customer_1789,Pure Business
Customer_1789,Transactional
Customer_179,Transactional
Customer_1790,Advanced Business Ties
Customer_1790,Transactional
Customer_1791,Advanced Business Ties
Customer_1791,Partnership
Customer_1792,Pure Business
Customer_1797,Opportunistic
Customer_1799,Advanced Business Ties
Customer_1801,Advanced Business Ties
Customer_1804,Advanced Business Ties
Customer_1804,Opportunistic
Customer_1804,Partnership
Customer_1805,Advanced Business Ties
Customer_1805,Opportunistic
Customer_1805,Partnership
Customer_1805,Transactional
Customer_1806,Partnership
Customer_1807,Transactional
Customer_1808,Partnership
Customer_1808,Pure Business
Customer_181,Advanced Business Ties
Customer_181,Transactional
Customer_1810,Partnership
Customer_1812,Advanced Business Ties
Customer_1812,Opportunistic
Customer_1812,Transactional
Customer_1814,Partnership
Customer_1815,Pure Business
Customer_1816,Advanced Business Ties
Customer_1816,Transactional
Customer_1819,Partnership
Customer_1819,Pure Business
Customer_1820,Opportunistic
Customer_1820,Pure Business
Customer_1821,Advanced Business Ties
Customer_1823,Transactional
Customer_1824,Advanced Business Ties
Customer_1824,Opportunistic
Customer_1826,Advanced Business Ties
Customer_1826,Transactional
Customer_1827,Opportunistic
Customer_1827,Pure Business
Customer_1827,Transactional
Customer_1830,Partnership
Customer_1832,Opportunistic
Customer_1832,Pure Business
Customer_1832,Transactional
Customer_1833,Advanced Business Ties
Customer_1834,Pure Business
Customer_1836,Opportunistic
Customer_1837,Partnership
Customer_1837,Pure Business
Customer_1837,Transactional
Customer_1838,Transactional
Customer_1839,Partnership
Customer_1840,Partnership
Customer_1840,Pure Business
Customer_1841,Pure Business
Customer_1843,Advanced Business Ties
Customer_1843,Transactional
Customer_1844,Opportunistic
Customer_1844,Pure Business
Customer_1844,Transactional
Customer_1845,Pure Business
Customer_1846,Opportunistic
Customer_1847,Advanced Business Ties
Customer_1847,Partnership
Customer_1848,Partnership
Customer_1849,Pure Business
Customer_1850,Opportunistic
Customer_1850,Pure Business
Customer_1851,Opportunistic
Customer_1852,Advanced Business Ties
Customer_1852,Pure Business
Customer_1852,Transactional
Customer_1853,Advanced Business Ties
Customer_1853,Pure Business
Customer_1854,Opportunistic
Customer_1855,Transactional
Customer_1859,Advanced Business Ties
Customer_1859,Partnership
Customer_186,Advanced Business Ties
Customer_1860,Opportunistic
Customer_1860,Pure Business
Customer_1862,Advanced Business Ties
Customer_1862,Pure Business
Customer_1863,Advanced Business Ties
Customer_1864,Opportunistic
Customer_1865,Advanced Business Ties
Customer_1866,Advanced Business Ties
Customer_1867,Advanced Business Ties
